                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.76557,                0.62871,                 1.0647,                0.87968,                0.77186,                0.81495,                0.60233,                0.91845,                 0.7179,                 1.0934,             0.00057778,             0.00057778,             0.00057778
                     35,                0.71055,                0.58941,                 1.0356,                0.88415,                0.77108,                0.83972,                0.61362,                0.92562,                0.69238,                 1.1094,             0.00054478,             0.00054478,             0.00054478
                     36,                0.69228,                0.56431,                 1.0225,                 0.8645,                0.76963,                0.84725,                0.62029,                0.95086,                0.70711,                 1.1179,             0.00051177,             0.00051177,             0.00051177
                     37,                0.68729,                0.55651,                 1.0282,                0.86313,                0.75028,                0.84064,                0.61667,                0.94096,                0.69618,                 1.1098,             0.00047876,             0.00047876,             0.00047876
                     38,                0.70289,                0.57544,                 1.0302,                0.83886,                0.78213,                0.84276,                0.62016,                0.90904,                 0.6563,                 1.0779,             0.00044576,             0.00044576,             0.00044576
                     39,                0.66027,                0.53725,                 1.0111,                0.86194,                0.77645,                0.83989,                 0.6329,                0.89441,                0.66784,                 1.0645,             0.00041275,             0.00041275,             0.00041275
                     40,                0.65848,                0.55493,                0.99055,                0.87229,                0.78103,                  0.847,                0.62638,                0.88879,                0.72638,                 1.0637,             0.00037974,             0.00037974,             0.00037974
                     41,                0.63991,                0.50971,                0.96871,                0.84172,                0.77384,                0.83795,                0.62517,                0.89883,                 0.7393,                 1.0649,             0.00034674,             0.00034674,             0.00034674
                     42,                0.61467,                0.47868,                0.95858,                  0.855,                0.77639,                0.84015,                0.63207,                0.88314,                0.68389,                 1.0659,             0.00031373,             0.00031373,             0.00031373
                     43,                0.58678,                0.46814,                0.95567,                0.84837,                0.80171,                0.84175,                0.62957,                0.89382,                0.66891,                 1.0849,             0.00028072,             0.00028072,             0.00028072
                     44,                0.56954,                0.45439,                 0.9311,                0.80838,                0.81734,                0.84555,                0.62802,                0.87953,                0.66905,                 1.0824,             0.00024772,             0.00024772,             0.00024772
                     45,                0.56981,                0.45303,                0.95069,                0.83725,                0.80106,                0.84929,                0.63798,                0.87275,                0.66576,                  1.076,             0.00021471,             0.00021471,             0.00021471
                     46,                0.55413,                0.43765,                0.93113,                0.88115,                0.78155,                0.85288,                0.64788,                0.85614,                0.63695,                 1.0639,              0.0001817,              0.0001817,              0.0001817
                     47,                0.55628,                0.41572,                0.92911,                0.88622,                0.77488,                  0.857,                0.65449,                0.83432,                0.62996,                 1.0504,              0.0001487,              0.0001487,              0.0001487
                     48,                0.55187,                0.41428,                0.93132,                0.86656,                0.79384,                0.85383,                0.64789,                0.83589,                0.63848,                 1.0531,             0.00011569,             0.00011569,             0.00011569
                     49,                0.52441,                0.40102,                0.92507,                0.87268,                  0.789,                0.85807,                0.65057,                0.84553,                0.65072,                 1.0649,             8.2683e-05,             8.2683e-05,             8.2683e-05
